Id,Channel,Subscribers,Title,URL,Released,Views,Category,Length,views,subscriber_count,normalized_performance,engagement_label
R-NIThUYa_0,TheWarOwl,1.42M subscribers,CS:GO Pistols Tutorial,https://www.youtube.com/watch?v=R-NIThUYa_0,6 years ago,4M views,VideoGames,12:17,4000000.0,1420000.0,2.8169014084507022,3
qKFep4ekvx0,Abroad in Japan,2.56M subscribers,Japan's Most Expensive Beef | Wagyu,https://www.youtube.com/watch?v=qKFep4ekvx0,5 years ago,4.7M views,Blog,13:47,4700000.0,2560000.0,1.8359374999999991,2
Mais4qHU1g4,FoodTribe,379K subscribers,James May shocks electricians with vegan hot dog prank,https://www.youtube.com/watch?v=Mais4qHU1g4,2 years ago,590K views,Food,13:35,590000.0,379000.0,1.5567282321899696,2
94b2pr9Prog,Hardware Canucks,1.71M subscribers,SteelSeries Arctis 5 - the BEST $99 Gaming Headset?,https://www.youtube.com/watch?v=94b2pr9Prog,4 years ago,1.4M views,Tech,10:59,1400000.0,1710000.0,0.8187134502923972,0
R8rmfD9Y5-c,Web Dev Simplified,817K subscribers,8 Must Know JavaScript Array Methods,https://www.youtube.com/watch?v=R8rmfD9Y5-c,3 years ago,667K views,Tech,10:05,667000.0,817000.0,0.8164014687882486,0
Honkq3fKFoA,Insider News,216K subscribers,We Asked Trump Voters What Happens If He Loses,https://www.youtube.com/watch?v=Honkq3fKFoA,,1.3M views,News,3:24,1300000.0,216000.0,6.018518518518491,4
VnIsuYVlSls,Joma in NYC,179K subscribers,why I moved to new york city,https://www.youtube.com/watch?v=VnIsuYVlSls,7 months ago,534K views,Blog,6:05,534000.0,179000.0,2.9832402234636706,3
pYy5-KowMj0,Joma in NYC,179K subscribers,me trying to flirt with my crush for 12 minutes straight,https://www.youtube.com/watch?v=pYy5-KowMj0,2 months ago,782K views,Blog,14:44,782000.0,179000.0,4.368715083798858,4
LUwj1-1-M1Q,BBC News,11.3M subscribers,Sex addiction: Five times a day 'wasn't enough' - BBC News,https://www.youtube.com/watch?v=LUwj1-1-M1Q,3 years ago,20M views,News,1:22,20000000.0,11300000.0,1.7699115044247784,2
zO9fZaFfNAs,NowThis News,1.73M subscribers,Man Shaves His Head in Solidarity with Girlfriend | NowThis,https://www.youtube.com/watch?v=zO9fZaFfNAs,,7.8M views,News,3:01,7800000.0,1730000.0,4.508670520231211,4
CfmzxyvKZ1w,TechLinked,1.69M subscribers,"Good luck selling Playstations, Sony!",https://www.youtube.com/watch?v=CfmzxyvKZ1w,,1.1M views,"Tech,News",6:17,1100000.0,1690000.0,0.6508875739644967,0
qd9oEhlyIKY,The Infographics Show,11.3M subscribers,What Is The Deadliest Substance On Earth? Toxicity Comparison,https://www.youtube.com/watch?v=qd9oEhlyIKY,4 years ago,9M views,Informative,7:39,9000000.0,11300000.0,0.7964601769911503,0
mRcRtmG0Zy4,carwow,6.7M subscribers,Mercedes Actros vs Scania R500 - DRAG RACE & 44 Ton BRAKE TEST!,https://www.youtube.com/watch?v=mRcRtmG0Zy4,,6.8M views,Automobile,16:01,6800000.0,6700000.0,1.0149253731343282,1
JeswElZRJ_Y,Hell's Kitchen,1.5M subscribers,Gordon Ramsay Loving The Food! | Hell's Kitchen | Part One,https://www.youtube.com/watch?v=JeswElZRJ_Y,,9.3M views,Food,17:05,9300000.0,1500000.0,6.199999999999996,4
zQGOcOUBi6s,Kurzgesagt – In a Nutshell,17.7M subscribers,The Immune System Explained I – Bacteria Infection,https://www.youtube.com/watch?v=zQGOcOUBi6s,7 years ago,38M views,Science,6:49,38000000.0,17700000.0,2.146892655367232,3
B1Kaq0_FqGs,Gordon Ramsay,18.7M subscribers,Gordon Ramsay Being Served The Worst Fish Dishes On Kitchen Nightmares,https://www.youtube.com/watch?v=B1Kaq0_FqGs,2 years ago,27M views,Food,13:34,27000000.0,18700000.0,1.4438502673796791,2
xetnJ_gNRBQ,LEMMiNO,4.68M subscribers,Top 10 Facts - Humans,https://www.youtube.com/watch?v=xetnJ_gNRBQ,6 years ago,5.4M views,Informative,13:19,5400000.0,4680000.0,1.1538461538461535,1
HgFzP5m1k_c,Let's Game It Out,3.99M subscribers,I Turned Valheim Into a Physics-Defying Nightmare,https://www.youtube.com/watch?v=HgFzP5m1k_c,10 months ago,9.1M views,VideoGames,22:07,9100000.0,3990000.0,2.2807017543859645,3
7yub7hDEfzI,TechLinked,1.69M subscribers,Windows 11 is REAL!?,https://www.youtube.com/watch?v=7yub7hDEfzI,7 months ago,869K views,"Tech,News",6:01,869000.0,1690000.0,0.5142011834319524,0
OoH8G4ZJqOE,LevelCapGaming,1.91M subscribers,Battlefield 4 Best Guns For All Classes,https://www.youtube.com/watch?v=OoH8G4ZJqOE,7 years ago,2.6M views,VideoGames,10:29,2600000.0,1910000.0,1.3612565445026172,2
wTziIhu8yvU,Incognito Mode,1.62M subscribers,etiquette.,https://www.youtube.com/watch?v=wTziIhu8yvU,,4M views,"Blog,Comedy",21:10,4000000.0,1620000.0,2.4691358024691343,3
BQTwvbWAx8A,Sam O'Nella Academy,3.38M subscribers,Dog Breed Deformities,https://www.youtube.com/watch?v=BQTwvbWAx8A,5 years ago,13M views,Informative,4:15,13000000.0,3380000.0,3.846153846153845,4
JUBSQXmm-3k,CDawgVA,2.6M subscribers,I Tried Dating In Japan With ZERO Japanese,https://www.youtube.com/watch?v=JUBSQXmm-3k,,2.6M views,Blog,18:22,2600000.0,2600000.0,0.9999999999999996,1
9E3FAKBlZh4,Sky News,3.98M subscribers,Inside a captured Islamic State suicide vehicle,https://www.youtube.com/watch?v=9E3FAKBlZh4,5 years ago,6.7M views,News,2:51,6700000.0,3980000.0,1.6834170854271353,2
rlK7JIAz9WY,Car Throttle,3.08M subscribers,The Differences Between Petrol and Diesel Engines,https://www.youtube.com/watch?v=rlK7JIAz9WY,4 years ago,3.8M views,Automobile,4:39,3800000.0,3080000.0,1.2337662337662334,1
cX1nCBVNRqc,Coder Coder,306K subscribers,Build a responsive website with HTML & CSS - Part 1 [Live Coding],https://www.youtube.com/watch?v=cX1nCBVNRqc,2 years ago,58K views,"Tech,Informative",1:58:31,58000.0,306000.0,0.1895424836601301,0
ifTF3ags0XI,Fireship,1.09M subscribers,25 VS Code Productivity Tips and Speed Hacks,https://www.youtube.com/watch?v=ifTF3ags0XI,7 months ago,770K views,Tech,11:35,770000.0,1090000.0,0.7064220183486233,0
SR5kfWXfxto,First We Feast,11M subscribers,Scarlett Johansson Tries To Not Spoil Avengers While Eating Spicy Wings | Hot Ones,https://www.youtube.com/watch?v=SR5kfWXfxto,2 years ago,20M views,"Food,Entertainment",26:51,20000000.0,11000000.0,1.818181818181818,2
3QbS2e8w33s,SEA,467K subscribers,The Early Universe,https://www.youtube.com/watch?v=3QbS2e8w33s,2 years ago,617K views,Science,24:52,617000.0,467000.0,1.3211991434689478,1
i1iqVGORUck,Munchies,4.59M subscribers,Ice Diamonds and Classic Cocktails at Bar High Five,https://www.youtube.com/watch?v=i1iqVGORUck,6 years ago,8.8M views,Food,4:54,8800000.0,4590000.0,1.9172113289760344,3
M-VQlqE9M1M,LEMMiNO,4.68M subscribers,Top 10 Facts - Undertale,https://www.youtube.com/watch?v=M-VQlqE9M1M,6 years ago,6.2M views,Informative,16:54,6200000.0,4680000.0,1.3247863247863243,2
s1ax8Tx_Jz0,MrBeast,89.7M subscribers,Would YOU Rather Have A Lamborghini or This House?,https://www.youtube.com/watch?v=s1ax8Tx_Jz0,,124M views,"Blog,Entertainment",19:52,124000000.0,89700000.0,1.3823857302118172,2
GLoeAJUcz38,MrBeast,89.7M subscribers,"Press This Button To Win $100,000!",https://www.youtube.com/watch?v=GLoeAJUcz38,,154M views,"Blog,Entertainment",15:11,154000000.0,89700000.0,1.7168338907469345,2
q8f4uxCGWJA,CDawgVA,2.6M subscribers,Anime Prank Calls,https://www.youtube.com/watch?v=q8f4uxCGWJA,3 years ago,2.1M views,Blog,11:04,2100000.0,2600000.0,0.8076923076923074,0
oakWgLqCwUc,Kurzgesagt – In a Nutshell,17.7M subscribers,Milk. White Poison or Healthy Drink?,https://www.youtube.com/watch?v=oakWgLqCwUc,2 years ago,16M views,Science,9:34,16000000.0,17700000.0,0.903954802259887,0
iJk9a4Zyx3I,penguinz0,9.99M subscribers,This Youtuber Is Slowly Killing Himself for Views,https://www.youtube.com/watch?v=iJk9a4Zyx3I,4 months ago,13M views,"Blog,Comedy",9:31,13000000.0,9990000.0,1.301301301301301,1
S_0geClYYJI,Insider News,216K subscribers,Elon Musk's Wealth Compared To Everything | Data On Data,https://www.youtube.com/watch?v=S_0geClYYJI,8 months ago,698K views,News,7:07,698000.0,216000.0,3.2314814814814667,4
p2q02Bxtqds,LGR,1.56M subscribers,LGR - PC Turbo Buttons,https://www.youtube.com/watch?v=p2q02Bxtqds,6 years ago,1.7M views,VideoGames,6:11,1700000.0,1560000.0,1.0897435897435892,1
_W_l79lNtA4,gameranx,6.9M subscribers,10 FREE PC Programs Every Gamer Should Have,https://www.youtube.com/watch?v=_W_l79lNtA4,4 years ago,6M views,VideoGames,7:12,6000000.0,6900000.0,0.8695652173913042,0
QWveXdj6oZU,Vox,10.3M subscribers,"Rapping, deconstructed: The best rhymers of all time",https://www.youtube.com/watch?v=QWveXdj6oZU,5 years ago,12M views,Informative,12:44,12000000.0,10300000.0,1.16504854368932,1
KTeXDOC_fRg,Car Throttle,3.08M subscribers,Daily Driving A Welded Differential,https://www.youtube.com/watch?v=KTeXDOC_fRg,5 years ago,2.9M views,Automobile,4:09,2900000.0,3080000.0,0.9415584415584412,0
zwAD6dRSVyI,3Blue1Brown,4.28M subscribers,Thinking outside the 10-dimensional box,https://www.youtube.com/watch?v=zwAD6dRSVyI,4 years ago,2.7M views,Science,27:07,2700000.0,4280000.0,0.630841121495327,0
4kEil-H7490,The Infographics Show,11.3M subscribers,Most Hard Core American Sniper - The White Feather,https://www.youtube.com/watch?v=4kEil-H7490,2 years ago,8.4M views,Informative,11:00,8400000.0,11300000.0,0.7433628318584069,0
sGCKnuKH5dQ,First We Feast,11M subscribers,Kevin Hart and Tiffany Haddish Play Truth or Dab | Hot Ones,https://www.youtube.com/watch?v=sGCKnuKH5dQ,3 years ago,16M views,"Food,Entertainment",14:08,16000000.0,11000000.0,1.4545454545454544,2
FSs_JYwnAdI,Fireship,1.09M subscribers,JavaScript: How It's Made,https://www.youtube.com/watch?v=FSs_JYwnAdI,2 years ago,625K views,Tech,10:54,625000.0,1090000.0,0.5733944954128436,0
ANQcBnQSQOU,jacksepticeye,28M subscribers,TRY TO STOP! | Happy Wheels - Part 89,https://www.youtube.com/watch?v=ANQcBnQSQOU,5 years ago,16M views,VideoGames,17:46,16000000.0,28000000.0,0.5714285714285714,0
K_NRBkJtNAI,Sam O'Nella Academy,3.38M subscribers,Obscure Obsolete Inventions,https://www.youtube.com/watch?v=K_NRBkJtNAI,2 years ago,12M views,Informative,6:56,12000000.0,3380000.0,3.5502958579881647,4
Xh6rc-t47rQ,Incognito Mode,1.62M subscribers,A Lesson in YTP [Old ITF],https://www.youtube.com/watch?v=Xh6rc-t47rQ,3 years ago,2.1M views,"Blog,Comedy",17:18,2100000.0,1620000.0,1.2962962962962956,1
19JYOVPmwDM,Let's Game It Out,3.99M subscribers,I Built an Unethical Zoo Where Nobody Is Safe - Planet Zoo,https://www.youtube.com/watch?v=19JYOVPmwDM,2 years ago,20M views,VideoGames,21:04,20000000.0,3990000.0,5.012531328320801,4
57yCeKge8LI,TheWarOwl,1.42M subscribers,Competitive CS:GO But Everyone Has 1000 Health,https://www.youtube.com/watch?v=57yCeKge8LI,,1.8M views,VideoGames,10:36,1800000.0,1420000.0,1.267605633802816,1
NAN1kt4SG9E,Vox,10.3M subscribers,The 116 images NASA wants aliens to see,https://www.youtube.com/watch?v=NAN1kt4SG9E,6 years ago,13M views,Informative,5:06,13000000.0,10300000.0,1.2621359223300967,1
-BRSus9eU10,Let's Game It Out,3.99M subscribers,I Abducted My Entire Neighborhood in The Sims 4,https://www.youtube.com/watch?v=-BRSus9eU10,2 years ago,11M views,VideoGames,17:37,11000000.0,3990000.0,2.7568922305764403,3
ASQCa7mfjVo,NileRed,3.93M subscribers,Extracting gold from computer parts (Part 1),https://www.youtube.com/watch?v=ASQCa7mfjVo,5 years ago,5M views,Science,14:21,5000000.0,3930000.0,1.2722646310432566,1
Ei3IuH8IZYI,Hardware Canucks,1.71M subscribers,Cool PC Components You've Never Heard Of,https://www.youtube.com/watch?v=Ei3IuH8IZYI,3 years ago,2.7M views,Tech,6:32,2700000.0,1710000.0,1.5789473684210518,2
mbsmsi7l3r4,Web Dev Simplified,817K subscribers,JWT Authentication Tutorial - Node.js,https://www.youtube.com/watch?v=mbsmsi7l3r4,2 years ago,468K views,Tech,27:36,468000.0,817000.0,0.5728274173806602,0
ZWHg5V0JliE,Donut Media,6.12M subscribers,"Fast Driver, Slow Car vs Slow Driver, Fast Car | Donut Media",https://www.youtube.com/watch?v=ZWHg5V0JliE,4 years ago,6.8M views,Automobile,2:22,6800000.0,6120000.0,1.111111111111111,1
pKmM1N0MoC4,Sam O'Nella Academy,3.38M subscribers,"South Sudan, the World's Newest Country",https://www.youtube.com/watch?v=pKmM1N0MoC4,5 years ago,9.9M views,Informative,5:32,9900000.0,3380000.0,2.928994082840236,3
YiM9oosSvNg,A&E,7.93M subscribers,"Live PD: Most Viewed Moments from Jeffersonville, Indiana Police Department | A&E",https://www.youtube.com/watch?v=YiM9oosSvNg,2 years ago,30M views,News,18:32,30000000.0,7930000.0,3.783102143757881,4
TZt6GDXP2OQ,CDawgVA,2.6M subscribers,I Paid $500 For AWFUL Knock-Off Anime Merch,https://www.youtube.com/watch?v=TZt6GDXP2OQ,,2.3M views,Blog,23:49,2300000.0,2600000.0,0.8846153846153842,0
Zs0qpASAtCA,Doctor Who,1.59M subscribers,The Doctor In The White House | The Impossible Astronaut | Doctor Who | BBC,https://www.youtube.com/watch?v=Zs0qpASAtCA,8 years ago,3.6M views,Entertainment,4:21,3600000.0,1590000.0,2.264150943396225,3
d-z0eQOEzkE,SEA,467K subscribers,The Birth of the Solar System,https://www.youtube.com/watch?v=d-z0eQOEzkE,8 months ago,511K views,Science,35:31,511000.0,467000.0,1.0942184154175565,1
l0DoQYGZt8M,Marques Brownlee,15.2M subscribers,Apple iPhone X Unboxing!,https://www.youtube.com/watch?v=l0DoQYGZt8M,4 years ago,17M views,Tech,5:44,17000000.0,15200000.0,1.1184210526315788,1
jW55cViXu6s,PBS Space Time,2.53M subscribers,Should We Build a Dyson Sphere? | Space Time | PBS Digital Studios,https://www.youtube.com/watch?v=jW55cViXu6s,5 years ago,2.5M views,Science,14:31,2500000.0,2530000.0,0.9881422924901182,1
vXBfwgwT1nQ,Mark Rober,21.1M subscribers,ARCADE SCAM SCIENCE (not clickbait),https://www.youtube.com/watch?v=vXBfwgwT1nQ,4 years ago,39M views,Science,7:09,39000000.0,21100000.0,1.848341232227488,3
ToQ8PWYnu04,VICE,15.3M subscribers,World's Scariest Drug (Documentary Exclusive),https://www.youtube.com/watch?v=ToQ8PWYnu04,9 years ago,38M views,News,35:44,38000000.0,15300000.0,2.483660130718954,3
M5v1nXiUaOI,Joma Tech,1.59M subscribers,Why I left my Data Science Job at FANG (Facebook Amazon Netflix Google),https://www.youtube.com/watch?v=M5v1nXiUaOI,2 years ago,1.1M views,"Tech,Comedy",15:30,1100000.0,1590000.0,0.6918238993710688,0
QJ4YYocbBwA,The Infographics Show,11.3M subscribers,Most Painful Things A Human Can Experience,https://www.youtube.com/watch?v=QJ4YYocbBwA,4 years ago,8M views,Informative,6:45,8000000.0,11300000.0,0.7079646017699114,0
BQw3v31s-Y8,Markiplier,31.9M subscribers,Try Not To Laugh Challenge,https://www.youtube.com/watch?v=BQw3v31s-Y8,5 years ago,39M views,VideoGames,7:45,39000000.0,31900000.0,1.2225705329153604,1
zL3UHF5SlEU,VICE,15.3M subscribers,Uganda's Moonshine Epidemic,https://www.youtube.com/watch?v=zL3UHF5SlEU,9 years ago,19M views,News,35:11,19000000.0,15300000.0,1.241830065359477,1
IcXI5yzip-s,LevelCapGaming,1.91M subscribers,"How To Aim, Peek & Win Firefights | PlayerUnknown's Battlegrounds PUBG",https://www.youtube.com/watch?v=IcXI5yzip-s,4 years ago,1.3M views,VideoGames,10:06,1300000.0,1910000.0,0.6806282722513086,0
xoKwbbnlxi0,VICE,15.3M subscribers,Real Life Ukrainian Barbie (Full Length),https://www.youtube.com/watch?v=xoKwbbnlxi0,8 years ago,16M views,News,20:28,16000000.0,15300000.0,1.045751633986928,1
2JyUD79ky8s,jacksepticeye,28M subscribers,VIRTUAL REALITY MCDONALDS | Job Simulator #1 (HTC Vive Virtual Reality),https://www.youtube.com/watch?v=2JyUD79ky8s,5 years ago,16M views,VideoGames,19:05,16000000.0,28000000.0,0.5714285714285714,0
Tr1FHd_n2_0,The Try Guys,7.7M subscribers,Which Try Guy Knows Eugene The Best?,https://www.youtube.com/watch?v=Tr1FHd_n2_0,3 years ago,15M views,"Entertainment,Blog",12:57,15000000.0,7700000.0,1.948051948051948,3
iEiiu75dRvs,Coder Coder,306K subscribers,Stay motivated when coding: don't compare yourself with others #shorts,https://www.youtube.com/watch?v=iEiiu75dRvs,5 months ago,173K views,"Tech,Informative",0:31,173000.0,306000.0,0.5653594771241812,0
TvfaGnMNDo0,The Infographics Show,11.3M subscribers,What The Last 24 Hours of Death Row Prisoner Look Like,https://www.youtube.com/watch?v=TvfaGnMNDo0,2 years ago,13M views,Informative,10:30,13000000.0,11300000.0,1.150442477876106,1
LqfJJ60JcKo,LEMMiNO,4.68M subscribers,Top 10 Facts - Area 51,https://www.youtube.com/watch?v=LqfJJ60JcKo,7 years ago,6.3M views,Informative,9:02,6300000.0,4680000.0,1.3461538461538458,2
9tbxDgcv74c,Kurzgesagt – In a Nutshell,17.7M subscribers,What If You Detonated a Nuclear Bomb In The Marianas Trench? (Science not Fantasy),https://www.youtube.com/watch?v=9tbxDgcv74c,3 years ago,29M views,Science,6:03,29000000.0,17700000.0,1.6384180790960452,2
V_Kr9OSfDeU,Web Dev Simplified,817K subscribers,JavaScript Async Await,https://www.youtube.com/watch?v=V_Kr9OSfDeU,2 years ago,468K views,Tech,7:31,468000.0,817000.0,0.5728274173806602,0
3kUUgQ0AjZc,EpicNameBro,389K subscribers,Bloodborne with ENB - 018 - Martyr Logarius - Queen Annalise - Alfred End (Professor Chaos Anyone?),https://www.youtube.com/watch?v=3kUUgQ0AjZc,6 years ago,476K views,VideoGames,28:57,476000.0,389000.0,1.22365038560411,1
RY_rbooeMcI,carwow,6.7M subscribers,Lamborghini Aventador vs NEW Tesla Model S Performance: DRAG RACE!,https://www.youtube.com/watch?v=RY_rbooeMcI,,7.9M views,Automobile,10:01,7900000.0,6700000.0,1.17910447761194,1
kYB8IZa5AuE,3Blue1Brown,4.28M subscribers,"Linear transformations and matrices | Chapter 3, Essence of linear algebra",https://www.youtube.com/watch?v=kYB8IZa5AuE,5 years ago,3.1M views,Science,10:59,3100000.0,4280000.0,0.7242990654205606,0
yIfrEMhtu2o,Doctor Who,1.59M subscribers,"""Anyone For Dodgems?"" | The Witch's Familiar | Doctor Who | BBC",https://www.youtube.com/watch?v=yIfrEMhtu2o,5 years ago,3.1M views,Entertainment,4:08,3100000.0,1590000.0,1.949685534591194,3
uw-VK2URZZQ,The Try Guys,7.7M subscribers,The Try Guys Roast Each Other's Instagrams,https://www.youtube.com/watch?v=uw-VK2URZZQ,3 years ago,14M views,"Entertainment,Blog",11:40,14000000.0,7700000.0,1.818181818181818,2
If2rE7Sagyw,Gordon Ramsay,18.7M subscribers,Gordon Ramsay Demonstrates Key Cooking Skills,https://www.youtube.com/watch?v=If2rE7Sagyw,3 years ago,37M views,Food,16:08,37000000.0,18700000.0,1.9786096256684491,3
L6EwZWWRA-U,BuzzFeedVideo,20.3M subscribers,People Who Hate Cats Meet Kittens,https://www.youtube.com/watch?v=L6EwZWWRA-U,6 years ago,36M views,Entertainment,2:09,36000000.0,20300000.0,1.7733990147783252,2
ugwwFmp4bIA,jacksepticeye,28M subscribers,WUBBA LUBBA DUB DUB | Rick And Morty VR #1 (HTC Vive Virtual Reality),https://www.youtube.com/watch?v=ugwwFmp4bIA,4 years ago,19M views,VideoGames,23:00,19000000.0,28000000.0,0.6785714285714286,0
fNcJuPIZ2WE,Web Dev Simplified,817K subscribers,Learn HTML Forms In 25 Minutes,https://www.youtube.com/watch?v=fNcJuPIZ2WE,2 years ago,479K views,Tech,24:56,479000.0,817000.0,0.5862913096695219,0
tafGL02EUOA,PBS Space Time,2.53M subscribers,Quantum Entanglement and the Great Bohr-Einstein Debate | Space Time | PBS Digital Studios,https://www.youtube.com/watch?v=tafGL02EUOA,5 years ago,2.3M views,Science,14:03,2300000.0,2530000.0,0.9090909090909088,0
gwqEgvSkT_c,Insider News,216K subscribers,Protests Against COVID-19 Restrictions Rock Belgium,https://www.youtube.com/watch?v=gwqEgvSkT_c,,622K views,News,1:33,622000.0,216000.0,2.8796296296296164,3
t2X3wlvoShg,Let's Game It Out,3.99M subscribers,I Built a 600 Meter Human Cannon That Ends All Existence - Satisfactory,https://www.youtube.com/watch?v=t2X3wlvoShg,,26M views,VideoGames,21:59,26000000.0,3990000.0,6.516290726817041,4
MnZIOk90TAY,CNET,3.35M subscribers,Jailbreak your iPhone or iPod Touch - CNET How to,https://www.youtube.com/watch?v=MnZIOk90TAY,11 years ago,5.3M views,Informative,2:39,5300000.0,3350000.0,1.5820895522388054,2
q1UytQTIECk,Donut Media,6.12M subscribers,"$1,000 vs $3,700 Wheels and Tires | HiLow",https://www.youtube.com/watch?v=q1UytQTIECk,2 years ago,4.5M views,Automobile,16:40,4500000.0,6120000.0,0.7352941176470588,0
nrB3HqVbB3o,Car Throttle,3.08M subscribers,The 8 Greatest Four-Cylinder Engines Of The Last 20 Years,https://www.youtube.com/watch?v=nrB3HqVbB3o,4 years ago,2.8M views,Automobile,6:30,2800000.0,3080000.0,0.9090909090909088,0
dojhP_1W5tA,Lex Clips,427K subscribers,Elon Musk: Can we travel faster than the speed of light? | Lex Fridman Podcast Clips,https://www.youtube.com/watch?v=dojhP_1W5tA,,392K views,"Blog,Science",4:57,392000.0,427000.0,0.9180327868852438,0
r9cLluDKIhk,Drew Gooden,3.46M subscribers,Getting Sent to the Principal's Office with Danny Gonzalez,https://www.youtube.com/watch?v=r9cLluDKIhk,2 years ago,8.2M views,Blog,13:23,8199999.999999999,3460000.0,2.369942196531791,3
vNaEBbFbvcY,PBS Space Time,2.53M subscribers,Do Events Inside Black Holes Happen?,https://www.youtube.com/watch?v=vNaEBbFbvcY,6 years ago,2.9M views,Science,14:25,2900000.0,2530000.0,1.1462450592885371,1
QynNpzqYt0Y,Internet Historian,3.35M subscribers,Going Camping at the End of the World,https://www.youtube.com/watch?v=QynNpzqYt0Y,2 years ago,11M views,"Comedy,Informative",23:38,11000000.0,3350000.0,3.283582089552238,4
wZsaXxtfuRg,Sky News,3.98M subscribers,Man stabbed '18 times in 25 seconds' on train,https://www.youtube.com/watch?v=wZsaXxtfuRg,2 years ago,5.2M views,News,2:07,5200000.0,3980000.0,1.3065326633165826,1
Qh9KBwqGxTI,Internet Historian,3.35M subscribers,The Cost of Concordia,https://www.youtube.com/watch?v=Qh9KBwqGxTI,11 months ago,12M views,"Comedy,Informative",46:49,12000000.0,3350000.0,3.5820895522388048,4
vvXRcwcIJh4,Internet Historian,3.35M subscribers,Leeroy Jenkins | The Man Behind The Meme,https://www.youtube.com/watch?v=vvXRcwcIJh4,4 years ago,6.3M views,"Comedy,Informative",7:44,6300000.0,3350000.0,1.8805970149253728,3
Qxn2b2LW6bQ,Doctor Who,1.59M subscribers,The Wooden Lady | Knock Knock | Doctor Who | BBC,https://www.youtube.com/watch?v=Qxn2b2LW6bQ,3 years ago,5.5M views,Entertainment,4:04,5500000.0,1590000.0,3.459119496855344,4
GBUJ5O7zvKA,TheWarOwl,1.42M subscribers,Competitive CS:GO but One Player is Invisible,https://www.youtube.com/watch?v=GBUJ5O7zvKA,,2.2M views,VideoGames,12:44,2200000.0,1420000.0,1.5492957746478864,2
